"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000110436",9.66721737419845,5.87049057973528,0.999664246830169,2.27166151650246e-10,2.31718378795025e-09,"SLC1A2"
"ENSG00000160223",21.3291620962909,5.3499375510662,0.881410777530361,2.28660648769308e-10,2.33128601700696e-09,"ICOSLG"
"ENSG00000163964",85.7167029079383,-1.08153602397893,0.174502450822437,2.31782285940187e-10,2.36195565882955e-09,"PIGX"
"ENSG00000104081",27.5454966804936,-3.37007753648212,0.557268427120837,2.3210540175666e-10,2.36409117376316e-09,"BMF"
"ENSG00000250091",65.9271298377936,1.35182992607351,0.219756813426579,2.32514159750105e-10,2.36709647522613e-09,"DNAH10OS"
"ENSG00000126001",451.207729184729,-1.23438261111055,0.199811134046027,2.3347928379843e-10,2.37576012189615e-09,"CEP250"
"ENSG00000149968",16331.9690908531,3.10505979530943,0.520669204354997,2.40403092169177e-10,2.44501806344411e-09,"MMP3"
"ENSG00000188352",266.852084518439,0.809104870046572,0.129386183864657,2.45078105850217e-10,2.49134818637484e-09,"FOCAD"
"ENSG00000164976",114.584589089558,-1.56761799112825,0.255501580788402,2.46495245626987e-10,2.50330952132109e-09,"MYORG"
"ENSG00000124181",309.331102596156,-0.785340051963908,0.125478211337044,2.4637680985042e-10,2.50330952132109e-09,"PLCG1"
"ENSG00000303150",7.78680733563913,7.56756504443078,2.46410103764447,2.4943459075123e-10,2.53192527784001e-09,NA
"ENSG00000163755",148.156491203605,-1.25410318955388,0.203782394545826,2.54262244091905e-10,2.57967137414687e-09,"HPS3"
"ENSG00000160949",54.2885009051083,-2.16346550850518,0.36238595652636,2.55516793364227e-10,2.59113693183139e-09,"TONSL"
"ENSG00000276085",24.7164389757058,9.86822010041763,2.92970339059624,2.55854885849723e-10,2.5933022728848e-09,"CCL3L1"
"ENSG00000001460",42.6908438568766,-1.54091173216043,0.251826637473881,2.60562683322958e-10,2.6397345518738e-09,"STPG1"
"ENSG00000198959",1329.98999048332,-1.06036561781271,0.171182187116444,2.61088226252384e-10,2.64377226767918e-09,"TGM2"
"ENSG00000134375",126.694227832777,0.816370988987439,0.130799603915962,2.62402577351852e-10,2.65578962464182e-09,"TIMM17A"
"ENSG00000113494",18.980021196059,3.67123837252624,0.618053143993847,2.65845106516747e-10,2.68932423351416e-09,"PRLR"
"ENSG00000137265",41.6760065695644,4.92721640138413,0.831742814202465,2.70729107699429e-10,2.73740130801089e-09,"IRF4"
"ENSG00000170515",235.760907914615,-0.840386750900218,0.134851737404218,2.71730974698705e-10,2.74619765157881e-09,"PA2G4"
"ENSG00000166965",66.5210875045869,-1.54641976216499,0.254511024873143,2.7291708177144e-10,2.75684654313421e-09,"RCCD1"
"ENSG00000205476",55.0197088121514,-1.91118601682342,0.315448151731843,2.79903812662931e-10,2.82605115219669e-09,"CCDC85C"
"ENSG00000123374",157.466362963052,-1.2467837455068,0.202694061330628,2.82493612061916e-10,2.85081653393943e-09,"CDK2"
"ENSG00000169683",32.4174395392621,-2.02256912295832,0.333435382272643,2.83735558005515e-10,2.86196249133567e-09,"LRRC45"
"ENSG00000124155",627.659289371785,0.4644870314184,0.0739434375276001,2.90859423604019e-10,2.93239822760875e-09,"PIGT"
"ENSG00000167695",98.5421124083573,-1.4175985985746,0.230774793968611,2.92842184226729e-10,2.95095906748126e-09,"TLCD3A"
"ENSG00000106638",249.15915392524,-0.909343158189676,0.146838826562588,3.04891801050475e-10,3.06941122150379e-09,"TBL2"
"ENSG00000127616",783.693813245715,-0.586076873057974,0.0936440887847259,3.04777809917254e-10,3.06941122150379e-09,"SMARCA4"
"ENSG00000158156",55.1476526847301,-1.39969670882683,0.229021074907322,3.0800672333736e-10,3.09798581111301e-09,"XKR8"
"ENSG00000082438",398.849283390274,1.12721704862481,0.18305208879373,3.08027793313989e-10,3.09798581111301e-09,"COBLL1"
"ENSG00000182220",690.054340067154,0.730615769032258,0.117254797615409,3.08269480453181e-10,3.09891951402934e-09,"ATP6AP2"
"ENSG00000125871",55.9676091865594,-1.52436097095389,0.250351848694034,3.11432862298631e-10,3.12920886109807e-09,"MGME1"
"ENSG00000176076",12.3906842932416,5.66128674689878,0.910529674071461,3.1311600630397e-10,3.14460305607445e-09,"KCNE5"
"ENSG00000171148",321.568027878435,-0.699658641856805,0.112066768592568,3.15988160362158e-10,3.17191779680799e-09,"TADA3"
"ENSG00000135045",17.8878490264097,-2.55316208084155,0.430784201696247,3.17452399612603e-10,3.18508024459508e-09,"C9orf40"
"ENSG00000198492",380.726649327263,0.68381246842775,0.109599312411767,3.23421994807332e-10,3.24169790455737e-09,"YTHDF2"
"ENSG00000122484",130.220354286937,-0.988593252295738,0.159804808647807,3.23562526810616e-10,3.24169790455737e-09,"RPAP2"
"ENSG00000155324",200.246328984164,1.48363974158517,0.243837212145486,3.23366702284789e-10,3.24169790455737e-09,"GRAMD2B"
"ENSG00000168268",464.390694258738,-1.37887925499468,0.226134154183927,3.24095445796451e-10,3.24547526985874e-09,"NT5DC2"
"ENSG00000024048",397.840136017041,0.581743009675422,0.0930718984838818,3.24724815941198e-10,3.25021439571145e-09,"UBR2"
"ENSG00000011347",109.339134223207,2.32870284078563,0.391140706750816,3.25375777916498e-10,3.25516497858893e-09,"SYT7"
"ENSG00000152620",88.9683128722852,-1.18126371788322,0.19229647468933,3.27196576243403e-10,3.27180860749828e-09,"NADK2"
"ENSG00000118518",167.828499499472,0.892076371603969,0.144429779346994,3.39026608026549e-10,3.3884757333196e-09,"RNF146"
"ENSG00000253250",55.2547242854519,1.4281185935868,0.234668165384453,3.42038916244732e-10,3.41694251309936e-09,"C8orf88"
"ENSG00000072864",140.808159486055,-1.16381241909668,0.188947403376035,3.45497413122103e-10,3.44983723922737e-09,"NDE1"
"ENSG00000168502",177.180773591916,-1.52118629273054,0.252361079123229,3.47309401110266e-10,3.46626769976732e-09,"MTCL1"
"ENSG00000179826",7.36308363958956,8.2216509306237,2.67345239732783,3.52444257141953e-10,3.5158298943164e-09,"MRGPRX3"
"ENSG00000075336",50.4035850938963,-1.35989520342552,0.222750021978981,3.54661013081407e-10,3.53624886558516e-09,"TIMM21"
"ENSG00000163376",35.2222877465837,2.08999522246246,0.349285153222724,3.59242853404096e-10,3.5802187482144e-09,"KBTBD8"
"ENSG00000138378",36.8473602752612,1.48885421760368,0.245195265076759,3.59717259417483e-10,3.58323139895339e-09,"STAT4"
"ENSG00000104946",283.111872262926,0.882473083955754,0.14294820760722,3.61682779179611e-10,3.601087412597e-09,"TBC1D17"
"ENSG00000050730",23.0874370195926,3.49966951836755,0.587076914569635,3.63472878421294e-10,3.61718061943256e-09,"TNIP3"
"ENSG00000137699",15.9249429848627,-3.58162518764268,0.59477182083145,3.6963166717961e-10,3.67671365456871e-09,"TRIM29"
"ENSG00000132549",488.76210407762,0.637967899015464,0.102498355583288,3.71459058102652e-10,3.69312613688592e-09,"VPS13B"
"ENSG00000103657",926.46941491145,0.552197816502156,0.0886594428071694,3.71690372230652e-10,3.69366198542718e-09,"HERC1"
"ENSG00000108468",283.678576547612,-0.946272823813875,0.153676611048268,3.77201630776627e-10,3.74664157974169e-09,"CBX1"
"ENSG00000114302",426.955451774965,-0.638326162290422,0.102692813248123,3.77778878360499e-10,3.75058582193001e-09,"PRKAR2A"
"ENSG00000172115",188.501983202229,0.937144040933803,0.151916444148355,3.78034635048699e-10,3.75133606629117e-09,"CYCS"
"ENSG00000168016",268.64175907619,1.03015834780393,0.168011544317189,3.7888393900818e-10,3.75797271377385e-09,"TRANK1"
"ENSG00000108055",222.92987583167,-0.705294098701644,0.113801259597875,3.89656829414149e-10,3.86298358646341e-09,"SMC3"
"ENSG00000003987",13.4717735573673,3.89327758897189,0.653758292608302,4.03886388847219e-10,4.00214694403154e-09,"MTMR7"
"ENSG00000134504",67.3196660758529,-1.54832131862654,0.256365531240208,4.08095872446385e-10,4.04193528471042e-09,"KCTD1"
"ENSG00000070018",354.315724865739,-0.70053474910944,0.113108496032513,4.10745304215655e-10,4.06624179194756e-09,"LRP6"
