Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR32684379 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 2.9714035097623975e-05)	(3, 5.942807019524795e-05)	(4, 0.0001188561403904959)	(5, 0.00026742631587861577)	(6, 0.0010102771933192152)	(7, 0.0021542675445777384)	(8, 0.0032982578958362613)	(9, 0.0053336693000235035)	(10, 0.01192275658292162)	(12, 0.023875227200940867)	(14, 0.05714751800150531)	(16, 0.06649258203970806)	(18, 0.06967941230392823)	(20, 0.07124682765532789)	(22, 0.07343080923500325)	(24, 0.07619421449908229)	(26, 0.07913590397374706)	(28, 0.08187702371150286)	(30, 0.08371186537878114)	(32, 0.08564327766012671)	(34, 0.08801297195916222)	(36, 0.09115523117073596)	(38, 0.09486948555793895)	(40, 0.09850202634862348)	(42, 0.10282541845532778)	(44, 0.10789166143947265)	(46, 0.11412418030119928)	(48, 0.12101783644384806)	(50, 0.13091261013135685)	(52, 0.14208508732806346)	(54, 0.15437926934970536)	(56, 0.16722316102065332)	(58, 0.18001505313018046)	(60, 0.1949389272579621)	(62, 0.2177295921778397)	(64, 0.2446207939411894)	(66, 0.2668468921942121)	(68, 0.28864956544709375)	(70, 0.31713046808816625)	(72, 0.3478324948527862)	(74, 0.3814613540745222)	(76, 0.421857584789742)	(78, 0.46335323480357393)	(80, 0.5098928422752275)	(82, 0.5643438115916234)	(84, 0.6202433401190285)	(86, 0.6778514256645469)	(88, 0.7377252063862593)
SRR32684379 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 2.9714035097623975e-05)	(6, 7.428508774405994e-05)	(7, 0.00035656842117148775)	(8, 0.001277703509197831)	(9, 0.00209483947438249)	(10, 0.0031645447378969536)	(12, 0.003558255702940471)	(14, 0.0036919688608797793)	(16, 0.003781110966172651)	(18, 0.003803396492495869)	(20, 0.003803396492495869)	(22, 0.003810825001270275)	(24, 0.0038628245626911167)	(26, 0.003907395615337553)	(28, 0.003981680703081613)	(30, 0.004405105703222755)	(32, 0.005801665352811082)	(34, 0.010860479828181564)	(36, 0.016602717110797395)	(38, 0.02332551755163482)	(40, 0.05434697019355426)	(42, 0.08776040266083242)	(44, 0.09967573073497962)	(46, 0.10122828906883048)	(48, 0.10203056801646633)	(50, 0.10221628073582648)	(52, 0.10224599477092411)	(54, 0.10224599477092411)	(56, 0.10228313731479613)	(58, 0.10230542284111935)	(60, 0.10233513687621698)	(62, 0.10240942196396104)	(64, 0.10243170749028425)	(66, 0.10245399301660747)	(68, 0.10246142152538187)	(70, 0.10254313512190034)	(72, 0.10258027766577238)	(74, 0.10262484871841882)	(76, 0.10265456275351643)	(78, 0.10270656231493727)	(80, 0.10272884784126049)	(82, 0.10278084740268134)	(84, 0.1028551324904254)	(86, 0.10289227503429743)	(88, 0.1029814171395903)
SRR32684379 - polya	(1, 0.001218275439002583)	(2, 0.0016045578952716948)	(3, 0.0021691245621265503)	(4, 0.0030159745624088337)	(5, 0.003758825439849433)	(6, 0.005140528071888948)	(7, 0.008498214037920457)	(8, 0.015897008777228827)	(9, 0.02935746667645249)	(10, 0.03793739431089141)	(12, 0.050929856157327494)	(14, 0.06213947589790614)	(16, 0.0711502570412606)	(18, 0.07959647151776023)	(20, 0.08671298292364117)	(22, 0.09334664125918572)	(24, 0.10029972547202973)	(26, 0.10810708819393043)	(28, 0.11658301670552768)	(30, 0.12601722284902328)	(32, 0.1370485583790162)	(34, 0.1493055978567861)	(36, 0.15753638557882793)	(38, 0.1655591750551864)	(40, 0.17352253646134963)	(42, 0.18877326497520514)	(44, 0.21518904217699286)	(46, 0.24289737990552718)	(48, 0.2508830268380136)	(50, 0.25771725491046715)	(52, 0.26340006412288774)	(54, 0.2690903018440828)	(56, 0.27469139745998483)	(58, 0.2812953417604318)	(60, 0.287995856674946)	(62, 0.2930175286064445)	(64, 0.2988414794855787)	(66, 0.3046580018559386)	(68, 0.30950138957685136)	(70, 0.3168778987898365)	(72, 0.32245670887941535)	(74, 0.3292612229167713)	(76, 0.33616230756819443)	(78, 0.34260282467560443)	(80, 0.3492959110813443)	(82, 0.35593699792566325)	(84, 0.36191694748906)	(86, 0.3687066045088671)	(88, 0.3823007755660301)
SRR32684379 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00020799824568336784)	(4, 0.0004754245615619836)	(5, 0.0006685657896965395)	(6, 0.0010399912284168391)	(7, 0.0019314122813455586)	(8, 0.00261483508859091)	(9, 0.0035656842117148774)	(10, 0.003914824124111959)	(12, 0.004828530703363896)	(14, 0.005875950440555141)	(16, 0.00691594166897198)	(18, 0.008483357020371646)	(20, 0.009337635529428335)	(22, 0.01175932938988469)	(24, 0.018014133777934538)	(26, 0.022315240358315606)	(28, 0.029884890799435314)	(30, 0.06260747195069372)	(32, 0.09458720222451153)	(34, 0.10989735880856227)	(36, 0.11793500530246956)	(38, 0.1224515386373084)	(40, 0.12893662679736484)	(42, 0.1403913873274989)	(44, 0.15432726978828454)	(46, 0.18882526453662596)	(48, 0.21319820182545202)	(50, 0.21902958121336075)	(52, 0.22908035358513207)	(54, 0.2372071421843322)	(56, 0.24568307069592943)	(58, 0.2528590101720056)	(60, 0.25786582508595524)	(62, 0.26217436017511075)	(64, 0.26551718912359346)	(66, 0.26886744658085054)	(68, 0.2743794000914598)	(70, 0.2774399457065151)	(72, 0.2800250667600084)	(74, 0.2834867518488815)	(76, 0.28659929702535764)	(78, 0.2896449856228641)	(80, 0.2935746667645249)	(82, 0.3011740312407422)	(84, 0.316246475544012)	(86, 0.34570051283453174)	(88, 0.3694494553863077)
SRR32684380 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 1.2962912071530386e-05)	(4, 5.1851648286121544e-05)	(5, 9.07403845007127e-05)	(6, 0.000842589284649475)	(7, 0.0022296208763032265)	(8, 0.003590726643813917)	(9, 0.005561089278686536)	(10, 0.012463839956776466)	(12, 0.025841565214595824)	(14, 0.07194416199699363)	(16, 0.08270986047239963)	(18, 0.08582095936956692)	(20, 0.08777187763633224)	(22, 0.09040983024288868)	(24, 0.0935338920521275)	(26, 0.09596443806553945)	(28, 0.09809035564527044)	(30, 0.10022923613707294)	(32, 0.1026403377823776)	(34, 0.10501255069146766)	(36, 0.10803290920413423)	(38, 0.11169493186434157)	(40, 0.11570047169444446)	(42, 0.12060045245748294)	(44, 0.12620691192841982)	(46, 0.13302540367804483)	(48, 0.141522592540933)	(50, 0.15115403621008006)	(52, 0.1626197319373487)	(54, 0.17588079098652426)	(56, 0.18878536995373277)	(58, 0.20265568587027027)	(60, 0.2190926583769708)	(62, 0.24095460958560683)	(64, 0.26584340076294516)	(66, 0.2879386843888687)	(68, 0.312496921308383)	(70, 0.341728288029684)	(72, 0.3738763099670794)	(74, 0.41073635044247603)	(76, 0.45449266013992684)	(78, 0.5011785879655436)	(80, 0.5509496888641845)	(82, 0.608433722445386)	(84, 0.6693723720936503)	(86, 0.7325600869863251)	(88, 0.7969857599818311)
SRR32684380 - polya	(1, 0.0012185137347238563)	(2, 0.0020092513710872097)	(3, 0.00268332279880679)	(4, 0.003266653842025657)	(5, 0.004122206038746663)	(6, 0.005781458783902552)	(7, 0.009644406581218607)	(8, 0.01682585986884644)	(9, 0.03269246424439963)	(10, 0.042563721786870026)	(12, 0.05657662973619437)	(14, 0.06912472862143579)	(16, 0.07871728355436827)	(18, 0.08748021211472282)	(20, 0.09469407268252947)	(22, 0.10171997102529894)	(24, 0.10966623612514706)	(26, 0.1196217525960824)	(28, 0.12750968459160864)	(30, 0.1375364970789374)	(32, 0.15015589198057222)	(34, 0.16406509663332433)	(36, 0.1733789489567189)	(38, 0.18228446954986027)	(40, 0.19089832462139222)	(42, 0.20428901279128311)	(44, 0.2281991041072209)	(46, 0.2554082565453632)	(48, 0.26375637191942874)	(50, 0.27101560267948577)	(52, 0.27752298453939406)	(54, 0.28355722010869144)	(56, 0.29003219468842084)	(58, 0.2965330950922933)	(60, 0.3026256637659126)	(62, 0.3084589741981013)	(64, 0.3142015442457893)	(66, 0.32003485467797793)	(68, 0.32579038763773743)	(70, 0.33330887663922504)	(72, 0.3398551472353479)	(74, 0.34750326535755083)	(76, 0.35522267949614716)	(78, 0.3626115393769195)	(80, 0.37023373167497936)	(82, 0.3783549960877931)	(84, 0.3854716348150633)	(86, 0.3923160523888314)	(88, 0.40589470278375944)
SRR32684380 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001814807690014254)	(4, 0.0005574052190758066)	(5, 0.0006611085156480496)	(6, 0.001179624998509265)	(7, 0.002048140107301801)	(8, 0.0029685068643804584)	(9, 0.0036814670283146296)	(10, 0.003966651093888298)	(12, 0.004841647658716599)	(14, 0.006157383233976933)	(16, 0.007317563864378903)	(18, 0.008931446417284435)	(20, 0.009825887350220032)	(22, 0.012262914819667745)	(24, 0.017798078274211218)	(26, 0.021213805605059477)	(28, 0.027176745157963453)	(30, 0.05688773962591109)	(32, 0.08365615305362134)	(34, 0.09724776636062096)	(36, 0.10444866401635608)	(38, 0.10860975879131735)	(40, 0.11463751290457896)	(42, 0.12391895794779473)	(44, 0.13430873197312632)	(46, 0.16107714540083656)	(48, 0.1804178102115599)	(50, 0.1854798273754925)	(52, 0.1929918349209444)	(54, 0.19933069892392274)	(56, 0.20655752240380093)	(58, 0.21280564602227858)	(60, 0.21657137197905815)	(62, 0.21970191524433275)	(64, 0.2225796817242125)	(66, 0.2254055965558061)	(68, 0.22961854297905349)	(70, 0.23178334929499905)	(72, 0.23392871124283734)	(74, 0.23684536645893167)	(76, 0.2394638746973808)	(78, 0.24210830875997302)	(80, 0.2456666281236081)	(82, 0.2525564158896265)	(84, 0.2660637702681612)	(86, 0.2998386376705336)	(88, 0.3316042537018188)
SRR32684381 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 1.2279664445889352e-05)	(3, 2.4559328891778703e-05)	(4, 4.9118657783557406e-05)	(5, 8.595765112122546e-05)	(6, 0.000626262886740357)	(7, 0.001878788660221071)	(8, 0.003315509400390125)	(9, 0.005513569336204319)	(10, 0.011788477868053777)	(12, 0.02500139681183072)	(14, 0.07567343214779312)	(16, 0.0885056814937475)	(18, 0.09211590284083897)	(20, 0.09429554327998432)	(22, 0.097218103418106)	(24, 0.10046607466404373)	(26, 0.10322899916436884)	(28, 0.10596122450357923)	(30, 0.10815314460717046)	(32, 0.11027138672408637)	(34, 0.11272117978104129)	(36, 0.11555164243581881)	(38, 0.11908204596401198)	(40, 0.12353342432564687)	(42, 0.12867246389625156)	(44, 0.13524208437480237)	(46, 0.14225991260562815)	(48, 0.15013731734766617)	(50, 0.16128111283231072)	(52, 0.17353621794930832)	(54, 0.18747363709539272)	(56, 0.20128211976479532)	(58, 0.21534847538756155)	(60, 0.23351009910303192)	(62, 0.2607770940051292)	(64, 0.2917709670665539)	(66, 0.31753984290625276)	(68, 0.34431565123051444)	(70, 0.374001740028452)	(72, 0.4084093598058339)	(74, 0.44808495563050244)	(76, 0.498296503549744)	(78, 0.5505280562703344)	(80, 0.6079600468837588)	(82, 0.6740983195893189)	(84, 0.7421092411228771)	(86, 0.814596100346962)	(88, 0.8872364553766203)
SRR32684381 - polya	(1, 0.0010683308067923735)	(2, 0.001473559733506722)	(3, 0.0018419496668834027)	(4, 0.002726085506987436)	(5, 0.003671619669320916)	(6, 0.004776789469450958)	(7, 0.008829078736594444)	(8, 0.017510801499838215)	(9, 0.03293406004387524)	(10, 0.04256131696945249)	(12, 0.05734603296230327)	(14, 0.07110539697392229)	(16, 0.08088614970507316)	(18, 0.08898458840713719)	(20, 0.09683743382028343)	(22, 0.10341933396328012)	(24, 0.11109412424196097)	(26, 0.1212002880809279)	(28, 0.13104243913430821)	(30, 0.14234587025674938)	(32, 0.15491410681711712)	(34, 0.1692014963999094)	(36, 0.17848492272100172)	(38, 0.18787272618988415)	(40, 0.19677548291315392)	(42, 0.2105594062536647)	(44, 0.23362675591526785)	(46, 0.2595675470572091)	(48, 0.2686115199216066)	(50, 0.27558022949464883)	(52, 0.2814621887642298)	(54, 0.2880133897461118)	(56, 0.29448477290909547)	(58, 0.3014964613076983)	(60, 0.3083853530618422)	(62, 0.3145681641103475)	(64, 0.32122374224001954)	(66, 0.32717323966405293)	(68, 0.3326376903424737)	(70, 0.3395204422643947)	(72, 0.3455251981784346)	(74, 0.35254916624148325)	(76, 0.3595240156467484)	(78, 0.36604451746751565)	(80, 0.3738666637195472)	(82, 0.3815844328237887)	(84, 0.3883628075979196)	(86, 0.3952885383454011)	(88, 0.4080471097046802)
SRR32684381 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018419496668834026)	(4, 0.000454347584497906)	(5, 0.0005648645645109101)	(6, 0.0010192121490088162)	(7, 0.0020384242980176323)	(8, 0.002787483829216883)	(9, 0.0034628653737407973)	(10, 0.003904933293792814)	(12, 0.004862747120572183)	(14, 0.006508222156321356)	(16, 0.007816006419808572)	(18, 0.009995646858953933)	(20, 0.01116221498131342)	(22, 0.014225991260562813)	(24, 0.02085087022912012)	(26, 0.02549258338966629)	(28, 0.03443217910627375)	(30, 0.07047299425495898)	(32, 0.1030877830232411)	(34, 0.11949955455517222)	(36, 0.12786200604282288)	(38, 0.13306858376787994)	(40, 0.14084161136212792)	(42, 0.15323179278803029)	(44, 0.16822526307646118)	(46, 0.20418626040624815)	(48, 0.22925519537253125)	(50, 0.2353090699443547)	(52, 0.2460292170056161)	(54, 0.2555336772867345)	(56, 0.26493990025228575)	(58, 0.272792745665432)	(60, 0.2780668615449414)	(62, 0.28251210007435335)	(64, 0.2859504061192024)	(66, 0.2893887121640514)	(68, 0.29547328589698957)	(70, 0.29890545210961567)	(72, 0.30194466905997325)	(74, 0.30586188201821196)	(76, 0.3087905819885566)	(78, 0.31162104464333407)	(80, 0.31590664753494946)	(82, 0.3226052044901821)	(84, 0.33698469155631855)	(86, 0.37244836247604696)	(88, 0.4099197585326783)
SRR32684382 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 1.3031314378765317e-05)	(4, 1.3031314378765317e-05)	(5, 9.121920065135722e-05)	(6, 0.0010946304078162867)	(7, 0.0027756699626770125)	(8, 0.004704304490734279)	(9, 0.0074148178815174656)	(10, 0.015370435309753691)	(12, 0.03179640708418737)	(14, 0.09069143241901723)	(16, 0.10477828326246252)	(18, 0.10923499278000026)	(20, 0.11201066274267729)	(22, 0.11623280860139724)	(24, 0.12089150349180584)	(26, 0.12498333620673815)	(28, 0.1281564612579675)	(30, 0.13130352368043935)	(32, 0.1343593669022598)	(34, 0.13727838132310322)	(36, 0.1411486816935965)	(38, 0.14576828264086883)	(40, 0.15087004222015546)	(42, 0.1568318685484406)	(44, 0.16381665305545878)	(46, 0.1720915376859748)	(48, 0.18181941386972308)	(50, 0.19268101440442398)	(52, 0.20610326821455224)	(54, 0.22134990603770768)	(56, 0.23720901563666508)	(58, 0.25340693940947034)	(60, 0.27300603623513336)	(62, 0.30321913862230077)	(64, 0.336136238743062)	(66, 0.36337820145187083)	(68, 0.3916691849681704)	(70, 0.4247100825755298)	(72, 0.46254650387427493)	(74, 0.5055759039529579)	(76, 0.5565544058026879)	(78, 0.6115139741951305)	(80, 0.6719206319978972)	(82, 0.7411299426635198)	(84, 0.8139880213551968)	(86, 0.8874911501086225)	(88, 0.961841314296668)
SRR32684382 - polya	(1, 0.0009773485784073989)	(2, 0.0014855698391792462)	(3, 0.0018765092705422056)	(4, 0.002632325504510594)	(5, 0.003453298310372809)	(6, 0.005225557065884892)	(7, 0.008900387720696712)	(8, 0.0154421075388369)	(9, 0.02857767243263234)	(10, 0.03724349649451127)	(12, 0.05129776905200967)	(14, 0.0642899894876387)	(16, 0.0741677257867428)	(18, 0.08217546847249409)	(20, 0.08851520291776341)	(22, 0.09489403130616904)	(24, 0.10232839615925465)	(26, 0.11111801770773186)	(28, 0.11868269570460513)	(30, 0.12769384959752134)	(32, 0.1384251369884346)	(34, 0.14948872289600634)	(36, 0.15873444044774032)	(38, 0.1675696715965432)	(40, 0.17461961267545523)	(42, 0.18742939470978154)	(44, 0.21086621361999097)	(46, 0.23680504489092333)	(48, 0.244682474432887)	(50, 0.2517715094549353)	(52, 0.257674694868516)	(54, 0.26374077171183125)	(56, 0.26929211163718525)	(58, 0.2752995475657961)	(60, 0.2805381359460597)	(62, 0.2859331000988686)	(64, 0.2909892500778295)	(66, 0.2959932747992754)	(68, 0.3007757671762823)	(70, 0.3074934097385358)	(72, 0.31272548246161)	(74, 0.31960601645359815)	(76, 0.32657776964623764)	(78, 0.33257868991765904)	(80, 0.3384492970452928)	(82, 0.3445153738886081)	(84, 0.3508876866198243)	(86, 0.3578007988977593)	(88, 0.37059754961770686)
SRR32684382 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018243840130271444)	(4, 0.000286688916332837)	(5, 0.000573377832665674)	(6, 0.000820972805862215)	(7, 0.001889540584920971)	(8, 0.002723544705161951)	(9, 0.0038833316848720643)	(10, 0.0041960832299624325)	(12, 0.005127822208044152)	(14, 0.006255030901807353)	(16, 0.0077992416556910416)	(18, 0.009323905438006585)	(20, 0.010503239389284845)	(22, 0.013467863410453956)	(24, 0.020511288832176608)	(26, 0.02446629274613188)	(28, 0.03260434857567082)	(30, 0.06996512689959099)	(32, 0.10406807662881981)	(34, 0.12068951811893498)	(36, 0.13001342355694157)	(38, 0.13553870085353806)	(40, 0.14312944147916884)	(42, 0.15590664522754827)	(44, 0.17048217036019725)	(46, 0.20607720558579473)	(48, 0.23112990747897105)	(50, 0.23776936215495198)	(52, 0.249178277893561)	(54, 0.2590299515639076)	(56, 0.2683799196306717)	(58, 0.27692194620595234)	(60, 0.28210840932870096)	(62, 0.28711243405014686)	(64, 0.2907090768186861)	(66, 0.29433178221598283)	(68, 0.30078228283347164)	(70, 0.30371432856869385)	(72, 0.3063336227588257)	(74, 0.30983904632671355)	(76, 0.3125104657743605)	(78, 0.3152405261367118)	(80, 0.31944964068105297)	(82, 0.32649958175996496)	(84, 0.34164848472527964)	(86, 0.37682000223356726)	(88, 0.42360242085333477)
